Time,Channel A
(s),(V)

-1.00004005,0.00000000
-1.00002005,0.00000000
-1.00000005,0.00000000
-0.99998005,0.00000000
-0.99996005,0.00000000
-0.99994005,0.00000000
-0.99992005,0.00000000
-0.99990005,0.00000000
-0.99988005,0.00000000
-0.99986005,0.00000000
-0.99984005,0.00000000
-0.99982005,0.00000000
-0.99980005,0.00000000
-0.99978005,0.00000000
-0.99976005,0.00000000
-0.99974005,0.00000000
-0.99972005,0.00000000
-0.99970005,0.00000000
-0.99968005,0.00000000
-0.99966005,0.00000000
-0.99964005,0.00000000
-0.99962005,0.00000000
-0.99960005,0.00000000
-0.99958005,0.00000000
-0.99956005,0.00000000
-0.99954005,0.00000000
-0.99952005,0.00000000
-0.99950005,0.00000000
-0.99948005,0.00000000
-0.99946005,0.00000000
-0.99944005,0.00000000
-0.99942005,0.00000000
-0.99940005,0.00000000
-0.99938005,0.00000000
-0.99936005,0.00000000
-0.99934005,0.00000000
-0.99932005,0.00000000
-0.99930005,0.00000000
-0.99928005,0.00000000
-0.99926005,0.00000000
-0.99924005,0.00000000
-0.99922005,0.00000000
-0.99920005,0.00000000
-0.99918005,0.00000000
-0.99916005,0.00000000
-0.99914005,0.00000000
-0.99912005,0.00000000
-0.99910005,0.00000000
-0.99908005,0.00000000
-0.99906005,0.00000000
-0.99904005,0.00000000
-0.99902005,0.00000000
-0.99900005,0.00000000
-0.99898005,0.00000000
-0.99896005,0.00000000
-0.99894005,0.00000000
-0.99892005,0.00000000
-0.99890005,0.00000000
-0.99888005,0.00000000
-0.99886005,0.00000000
-0.99884005,0.00000000
-0.99882005,0.00000000
-0.99880005,0.00000000
-0.99878005,0.00000000
-0.99876005,0.00000000
-0.99874005,0.00000000
-0.99872005,0.00000000
-0.99870005,0.00000000
-0.99868005,0.00000000
-0.99866005,0.00000000
-0.99864005,0.00000000
-0.99862005,0.00000000
-0.99860005,0.00000000
-0.99858005,0.00000000
-0.99856005,0.00000000
-0.99854005,0.00000000
-0.99852005,0.00000000
-0.99850005,0.00000000
-0.99848005,0.00000000
-0.99846005,0.00000000
-0.99844005,0.00000000
-0.99842005,0.00000000
-0.99840005,0.00000000
-0.99838005,0.00000000
-0.99836005,0.00000000
-0.99834005,0.00000000
-0.99832005,0.00000000
-0.99830005,0.00000000
-0.99828005,0.00000000
-0.99826005,0.00000000
-0.99824005,0.00000000
-0.99822005,0.00000000
-0.99820005,0.00000000
-0.99818005,0.00000000
-0.99816005,0.00000000
-0.99814005,0.00000000
-0.99812005,0.00000000
-0.99810005,0.00000000
-0.99808005,0.00000000
-0.99806005,0.00000000
-0.99804005,0.00000000
-0.99802005,0.00000000
-0.99800005,0.00000000
-0.99798005,0.00000000
-0.99796005,0.00000000
-0.99794005,0.00000000
-0.99792005,0.00000000
-0.99790005,0.00000000
-0.99788005,0.00000000
-0.99786005,0.00000000
-0.99784005,0.00000000
-0.99782005,0.00000000
-0.99780005,0.00000000
-0.99778005,0.00000000
-0.99776005,0.00000000
-0.99774005,0.00000000
-0.99772005,0.00000000
-0.99770005,0.00000000
-0.99768005,0.00000000
-0.99766005,0.00000000
-0.99764005,0.00000000
-0.99762005,0.00000000
-0.99760005,0.00000000
-0.99758005,0.00000000
-0.99756005,0.00000000
-0.99754005,0.00000000
-0.99752005,0.00000000
-0.99750005,0.00000000
-0.99748005,0.00000000
-0.99746005,0.00000000
-0.99744005,0.00000000
-0.99742005,0.00000000
-0.99740005,0.00000000
-0.99738005,0.00000000
-0.99736005,0.00000000
-0.99734005,0.00000000
-0.99732005,0.00000000
-0.99730005,0.00000000
-0.99728005,0.00000000
-0.99726005,0.00000000
-0.99724005,0.00000000
-0.99722005,0.00000000
-0.99720005,0.00000000
-0.99718005,0.00000000
-0.99716005,0.00000000
-0.99714005,0.00000000
-0.99712005,0.00000000
-0.99710005,0.00000000
-0.99708005,0.00000000
-0.99706005,0.00000000
-0.99704005,0.00000000
-0.99702005,0.00000000
-0.99700005,0.00000000
-0.99698005,0.00000000
-0.99696005,0.00000000
-0.99694005,0.00000000
-0.99692005,0.00000000
-0.99690005,0.00000000
-0.99688005,0.00000000
-0.99686005,0.00000000
-0.99684005,0.00000000
-0.99682005,0.00000000
-0.99680005,0.00000000
